ingredient_id,name,normalized_name,source,source_url
ingredient:calcitonin,Calcitonin,calcitonin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/calcitonin
ingredient:candesartan_cilexetil,Candesartan cilexetil,candesartan_cilexetil,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/candesartan-cilexetil
ingredient:capecitabin,Capecitabin,capecitabin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/capecitabin
ingredient:carbamazepine,Carbamazepine,carbamazepine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carbamazepine
ingredient:carbazochrome,Carbazochrome,carbazochrome,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carbazochrome
ingredient:carbetocin,Carbetocin,carbetocin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carbetocin
ingredient:carbimazol,Carbimazol,carbimazol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carbimazol
ingredient:carbocisteine,Carbocisteine,carbocisteine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carbocisteine
ingredient:carboprost,Carboprost,carboprost,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carboprost
ingredient:cardus_marianus,Cardus Marianus,cardus_marianus,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cardus-marianus
ingredient:carnitine,Carnitine,carnitine,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carnitine
ingredient:carvedilol,Carvedilol,carvedilol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/carvedilol
ingredient:casein,Casein,casein,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/casein
ingredient:cefaclor,Cefaclor,cefaclor,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefaclor
ingredient:cefadroxil,Cefadroxil,cefadroxil,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefadroxil
ingredient:cefalotin,Cefalotin,cefalotin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefalotin
ingredient:cefamandol,Cefamandol,cefamandol,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefamandol
ingredient:cefazolin,Cefazolin,cefazolin,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefazolin
ingredient:cefdinir,Cefdinir,cefdinir,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefdinir
ingredient:cefditoren_pivoxil,Cefditoren Pivoxil,cefditoren_pivoxil,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefditoren-pivoxil
ingredient:cefepim,Cefepim,cefepim,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefepime
ingredient:cefetamet,Cefetamet,cefetamet,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefetamet
ingredient:cefixim,Cefixim,cefixim,trungtamthuoc_duocthu,https://trungtamthuoc.com/hoat-chat/cefixim
