drug_id,name,normalized_name,source
drug:bedaquiline,Bedaquiline,bedaquiline,ddinter
drug:bendroflumethiazide,Bendroflumethiazide,bendroflumethiazide,ddinter
drug:benzphetamine,Benzphetamine,benzphetamine,ddinter
drug:benzthiazide,Benzthiazide,benzthiazide,ddinter
drug:betamethasone_topical,Betamethasone (topical),betamethasone_topical,ddinter
drug:bortezomib,Bortezomib,bortezomib,ddinter
drug:brentuximab_vedotin,Brentuximab vedotin,brentuximab_vedotin,ddinter
drug:brexpiprazole,Brexpiprazole,brexpiprazole,ddinter
drug:brigatinib,Brigatinib,brigatinib,ddinter
drug:bumetanide,Bumetanide,bumetanide,ddinter
drug:calaspargase_pegol,Calaspargase pegol,calaspargase_pegol,ddinter
drug:cannabidiol,Cannabidiol,cannabidiol,ddinter
drug:cariprazine,Cariprazine,cariprazine,ddinter
drug:ceritinib,Ceritinib,ceritinib,ddinter
drug:activated_charcoal,Activated charcoal,activated_charcoal,ddinter
drug:chlorothiazide,Chlorothiazide,chlorothiazide,ddinter
drug:chlorpromazine,Chlorpromazine,chlorpromazine,ddinter
drug:chlorthalidone,Chlorthalidone,chlorthalidone,ddinter
drug:chromic_chloride,Chromic chloride,chromic_chloride,ddinter
drug:chromium_picolinate,Chromium picolinate,chromium_picolinate,ddinter
drug:cinoxacin,Cinoxacin,cinoxacin,ddinter
drug:ciprofloxacin,Ciprofloxacin,ciprofloxacin,ddinter
drug:clobetasol_topical,Clobetasol (topical),clobetasol_topical,ddinter
drug:clocortolone_topical,Clocortolone (topical),clocortolone_topical,ddinter
drug:clofarabine,Clofarabine,clofarabine,ddinter
drug:clozapine,Clozapine,clozapine,ddinter
drug:conjugated_estrogens,Conjugated estrogens,conjugated_estrogens,ddinter
drug:conjugated_estrogens_topical,Conjugated estrogens (topical),conjugated_estrogens_topical,ddinter
drug:copanlisib,Copanlisib,copanlisib,ddinter
drug:corticotropin,Corticotropin,corticotropin,ddinter
drug:tetracosactide,Tetracosactide,tetracosactide,ddinter
drug:dabrafenib,Dabrafenib,dabrafenib,ddinter
drug:danazol,Danazol,danazol,ddinter
drug:darunavir,Darunavir,darunavir,ddinter
drug:deflazacort,Deflazacort,deflazacort,ddinter
drug:delafloxacin,Delafloxacin,delafloxacin,ddinter
drug:desonide_topical,Desonide (topical),desonide_topical,ddinter
drug:desoximetasone_topical,Desoximetasone (topical),desoximetasone_topical,ddinter
drug:dexamethasone_ophthalmic,Dexamethasone (ophthalmic),dexamethasone_ophthalmic,ddinter
